Record_ID,Income,Education_Level,Major,Years_of_Experience,Gender,Industry,Year,CPI,GDP
11,113792,Master's Degree,Economics,3,1,Private,2019,253.38844804186493,0.0314894622635982
11,114792,Master's Degree,Economics,4,1,Private,2020,262.73642928568705,0.0227954475325257
11,115792,Master's Degree,Economics,5,1,Private,2021,269.49539686840825,0.0240325464009548
12,86282,Master's Degree,Finance,27,0,Private,2018,259.04706076957433,0.0381573226092503
12,87282,Master's Degree,Finance,28,0,Private,2019,253.38844804186493,0.0317661335159011
12,88282,Master's Degree,Finance,29,0,Private,2020,262.73642928568705,0.0290389720259807
12,89282,Master's Degree,Finance,30,0,Private,2021,269.49539686840825,0.0379933489058434
13,59574,Bachelor's Degree,Economics,1,0,Private,2018,259.04706076957433,0.0379914914654913
13,60574,Bachelor's Degree,Economics,2,0,Private,2019,253.38844804186493,0.0308710572222797
13,61574,Bachelor's Degree,Economics,3,0,Private,2020,262.73642928568705,0.0324847599182798
13,62574,Bachelor's Degree,Economics,4,0,Private,2021,269.49539686840825,0.0387966424722695
14,111819,PhD,Finance,15,1,Public,2018,259.04706076957433,0.0299084725280793
14,112819,PhD,Finance,16,1,Public,2019,253.38844804186493,0.0314630169851477
14,113819,PhD,Finance,17,1,Public,2020,262.73642928568705,0.0350480624007764
14,114819,PhD,Finance,18,1,Public,2021,269.49539686840825,0.035571438781015
15,77265,Bachelor's Degree,Economics,5,1,Public,2018,259.04706076957433,0.0268416349743181
15,78265,Bachelor's Degree,Economics,6,1,Public,2019,253.38844804186493,0.0222126347391041
15,79265,Bachelor's Degree,Economics,7,1,Public,2020,262.73642928568705,0.0225497732466396
15,80265,Bachelor's Degree,Economics,8,1,Public,2021,269.49539686840825,0.035945907315591
16,45756,Bachelor's Degree,Accounting,2,1,Non-Profit,2018,259.04706076957433,0.0319688540241045
16,46756,Bachelor's Degree,Accounting,3,1,Non-Profit,2019,253.38844804186493,0.034323581494659
16,47756,Bachelor's Degree,Accounting,4,1,Non-Profit,2020,262.73642928568705,0.0365359765561815
16,48756,Bachelor's Degree,Accounting,5,1,Non-Profit,2021,269.49539686840825,0.0268504851435708
17,127077,Master's Degree,Finance,11,1,Non-Profit,2018,259.04706076957433,0.0317245966403359
17,128077,Master's Degree,Finance,12,1,Non-Profit,2019,253.38844804186493,0.0322290847086929
17,129077,Master's Degree,Finance,13,1,Non-Profit,2020,262.73642928568705,0.037442478178883
17,130077,Master's Degree,Finance,14,1,Non-Profit,2021,269.49539686840825,0.0313026636717841
18,95632,Bachelor's Degree,Accounting,28,1,Non-Profit,2018,259.04706076957433,0.0213784307873443
18,96632,Bachelor's Degree,Accounting,29,1,Non-Profit,2019,253.38844804186493,0.0220849393210361
18,97632,Bachelor's Degree,Accounting,30,1,Non-Profit,2020,262.73642928568705,0.0382137239651142
18,98632,Bachelor's Degree,Accounting,31,1,Non-Profit,2021,269.49539686840825,0.0247181206919016
19,60256,Master's Degree,Economics,1,0,Public,2018,259.04706076957433,0.0303767611425214
19,61256,Master's Degree,Economics,2,0,Public,2019,253.38844804186493,0.0279800540774026
19,62256,Master's Degree,Economics,3,0,Public,2020,262.73642928568705,0.026703944832918
19,63256,Master's Degree,Economics,4,0,Public,2021,269.49539686840825,0.020092640460092
20,115688,Bachelor's Degree,Finance,26,1,Non-Profit,2018,259.04706076957433,0.0269269198873192
20,116688,Bachelor's Degree,Finance,27,1,Non-Profit,2019,253.38844804186493,0.0347500249621949
20,117688,Bachelor's Degree,Finance,28,1,Non-Profit,2020,262.73642928568705,0.0244920964587996
20,118688,Bachelor's Degree,Finance,29,1,Non-Profit,2021,269.49539686840825,0.0228171404075959
21,103240,Bachelor's Degree,Finance,17,0,Public,2018,259.04706076957433,0.0255517434525883
21,104240,Bachelor's Degree,Finance,18,0,Public,2019,253.38844804186493,0.0242536156868245
21,105240,Bachelor's Degree,Finance,19,0,Public,2020,262.73642928568705,0.0395108263136551
21,106240,Bachelor's Degree,Finance,20,0,Public,2021,269.49539686840825,0.0311461073778009
22,61806,Master's Degree,Finance,1,1,Private,2018,259.04706076957433,0.0279463623091519
22,62806,Master's Degree,Finance,2,1,Private,2019,253.38844804186493,0.0359956404414853
22,63806,Master's Degree,Finance,3,1,Private,2020,262.73642928568705,0.0293646365688275
22,64806,Master's Degree,Finance,4,1,Private,2021,269.49539686840825,0.0275545189488033
23,93258,PhD,Economics,15,1,Private,2018,259.04706076957433,0.0306891178251449
23,94258,PhD,Economics,16,1,Private,2019,253.38844804186493,0.0299402389764249
23,95258,PhD,Economics,17,1,Private,2020,262.73642928568705,0.0220596295866263
23,96258,PhD,Economics,18,1,Private,2021,269.49539686840825,0.0215100672760777
24,117629,PhD,Economics,2,0,Public,2018,259.04706076957433,0.0205077271132069
24,118629,PhD,Economics,3,0,Public,2019,253.38844804186493,0.0343194445769479
24,119629,PhD,Economics,4,0,Public,2020,262.73642928568705,0.0205419198500696
24,120629,PhD,Economics,5,0,Public,2021,269.49539686840825,0.0246214959317614
25,121373,PhD,Finance,25,1,Private,2018,259.04706076957433,0.0235708932410866
25,122373,PhD,Finance,26,1,Private,2019,253.38844804186493,0.0247636556209345
25,123373,PhD,Finance,27,1,Private,2020,262.73642928568705,0.024863443819989
25,124373,PhD,Finance,28,1,Private,2021,269.49539686840825,0.0371139293621257
26,122358,PhD,Accounting,16,0,Public,2018,259.04706076957433,0.0326648154982192
26,123358,PhD,Accounting,17,0,Public,2019,253.38844804186493,0.0369625619093376
26,124358,PhD,Accounting,18,0,Public,2020,262.73642928568705,0.0375288815175058
26,125358,PhD,Accounting,19,0,Public,2021,269.49539686840825,0.0340789227027701
27,57358,Bachelor's Degree,Finance,2,1,Private,2018,259.04706076957433,0.0206845622164105
27,58358,Bachelor's Degree,Finance,3,1,Private,2019,253.38844804186493,0.0269038428976255
27,59358,Bachelor's Degree,Finance,4,1,Private,2020,262.73642928568705,0.0272551578933189
27,60358,Bachelor's Degree,Finance,5,1,Private,2021,269.49539686840825,0.0243902105016191
28,112285,Master's Degree,Economics,24,1,Private,2018,259.04706076957433,0.0294213090538762
28,113285,Master's Degree,Economics,25,1,Private,2019,253.38844804186493,0.0296955673430069
28,114285,Master's Degree,Economics,26,1,Private,2020,262.73642928568705,0.0348337388845733
28,115285,Master's Degree,Economics,27,1,Private,2021,269.49539686840825,0.0280510008719396
29,95693,Bachelor's Degree,Economics,4,0,Public,2018,259.04706076957433,0.0380114460247277
29,96693,Bachelor's Degree,Economics,5,0,Public,2019,253.38844804186493,0.0336636771289096
29,97693,Bachelor's Degree,Economics,6,0,Public,2020,262.73642928568705,0.0305932335731016
29,98693,Bachelor's Degree,Economics,7,0,Public,2021,269.49539686840825,0.0299618150702201
30,141411,Master's Degree,Accounting,23,0,Private,2018,259.04706076957433,0.0228003707732089
30,142411,Master's Degree,Accounting,24,0,Private,2019,253.38844804186493,0.0253299678674176
30,143411,Master's Degree,Accounting,25,0,Private,2020,262.73642928568705,0.0250146132112319
30,144411,Master's Degree,Accounting,26,0,Private,2021,269.49539686840825,0.0298854770027654
31,95373,Master's Degree,Accounting,26,1,Private,2018,259.04706076957433,0.0270774275312249
31,96373,Master's Degree,Accounting,27,1,Private,2019,253.38844804186493,0.0236874184135792
31,97373,Master's Degree,Accounting,28,1,Private,2020,262.73642928568705,0.0354197185107095
31,98373,Master's Degree,Accounting,29,1,Private,2021,269.49539686840825,0.0367415798140605
32,91769,PhD,Accounting,23,0,Non-Profit,2018,259.04706076957433,0.0387365947864951
32,92769,PhD,Accounting,24,0,Non-Profit,2019,253.38844804186493,0.0242988075718151
32,93769,PhD,Accounting,25,0,Non-Profit,2020,262.73642928568705,0.0252452808859965
32,94769,PhD,Accounting,26,0,Non-Profit,2021,269.49539686840825,0.021028516269685
33,115017,Master's Degree,Finance,9,0,Private,2018,259.04706076957433,0.0221319650626754
33,116017,Master's Degree,Finance,10,0,Private,2019,253.38844804186493,0.034563775124072
33,117017,Master's Degree,Finance,11,0,Private,2020,262.73642928568705,0.0337680479285547
33,118017,Master's Degree,Finance,12,0,Private,2021,269.49539686840825,0.0249280406647821
34,121186,PhD,Economics,6,1,Private,2018,259.04706076957433,0.0272194779388005
34,122186,PhD,Economics,7,1,Private,2019,253.38844804186493,0.0383462715092448
34,123186,PhD,Economics,8,1,Private,2020,262.73642928568705,0.039004747076416
34,124186,PhD,Economics,9,1,Private,2021,269.49539686840825,0.0237026585767723
35,74344,Master's Degree,Finance,23,0,Non-Profit,2018,259.04706076957433,0.0327446315957897
35,75344,Master's Degree,Finance,24,0,Non-Profit,2019,253.38844804186493,0.0380672762527205
35,76344,Master's Degree,Finance,25,0,Non-Profit,2020,262.73642928568705,0.0338635042291384
35,77344,Master's Degree,Finance,26,0,Non-Profit,2021,269.49539686840825,0.0333983492910007
36,118276,Master's Degree,Finance,22,0,Private,2018,259.04706076957433,0.0206789195717159
36,119276,Master's Degree,Finance,23,0,Private,2019,253.38844804186493,0.025946980147451
36,120276,Master's Degree,Finance,24,0,Private,2020,262.73642928568705,0.0394211649033073
36,121276,Master's Degree,Finance,25,0,Private,2021,269.49539686840825,0.0294842843331492
37,67850,Master's Degree,Finance,10,1,Non-Profit,2018,259.04706076957433,0.0330033470088645
37,68850,Master's Degree,Finance,11,1,Non-Profit,2019,253.38844804186493,0.0312135438800702
37,69850,Master's Degree,Finance,12,1,Non-Profit,2020,262.73642928568705,0.0376999671304656
37,70850,Master's Degree,Finance,13,1,Non-Profit,2021,269.49539686840825,0.0288206432349632
38,50640,PhD,Finance,4,1,Non-Profit,2018,259.04706076957433,0.0263750500586413
38,51640,PhD,Finance,5,1,Non-Profit,2019,253.38844804186493,0.0377195549647237
38,52640,PhD,Finance,6,1,Non-Profit,2020,262.73642928568705,0.0246591894950726
38,53640,PhD,Finance,7,1,Non-Profit,2021,269.49539686840825,0.0374019774780186
39,85788,Master's Degree,Finance,18,0,Non-Profit,2018,259.04706076957433,0.0359756647154733
39,86788,Master's Degree,Finance,19,0,Non-Profit,2019,253.38844804186493,0.0270142363090342
39,87788,Master's Degree,Finance,20,0,Non-Profit,2020,262.73642928568705,0.0280386182721848
39,88788,Master's Degree,Finance,21,0,Non-Profit,2021,269.49539686840825,0.0325501092643674
40,97072,PhD,Accounting,7,1,Public,2018,259.04706076957433,0.0346454361436929
40,98072,PhD,Accounting,8,1,Public,2019,253.38844804186493,0.029346215330753
40,99072,PhD,Accounting,9,1,Public,2020,262.73642928568705,0.037056436433838
40,100072,PhD,Accounting,10,1,Public,2021,269.49539686840825,0.0317821706894178
41,90400,Bachelor's Degree,Accounting,15,0,Public,2018,259.04706076957433,0.0335929456538613
41,91400,Bachelor's Degree,Accounting,16,0,Public,2019,253.38844804186493,0.0389992236790045
41,92400,Bachelor's Degree,Accounting,17,0,Public,2020,262.73642928568705,0.0217882200462451
41,93400,Bachelor's Degree,Accounting,18,0,Public,2021,269.49539686840825,0.0375823661512432
42,95280,Master's Degree,Finance,7,0,Public,2018,259.04706076957433,0.0246334340276688
42,96280,Master's Degree,Finance,8,0,Public,2019,253.38844804186493,0.0329929329798473
42,97280,Master's Degree,Finance,9,0,Public,2020,262.73642928568705,0.0302537702203301
42,98280,Master's Degree,Finance,10,0,Public,2021,269.49539686840825,0.0235305606401101
43,119554,Master's Degree,Accounting,24,1,Private,2018,259.04706076957433,0.0211568535312679
43,120554,Master's Degree,Accounting,25,1,Private,2019,253.38844804186493,0.0376757176992685
43,121554,Master's Degree,Accounting,26,1,Private,2020,262.73642928568705,0.0398981564529287
43,122554,Master's Degree,Accounting,27,1,Private,2021,269.49539686840825,0.0279248403780531
44,67578,Master's Degree,Economics,3,0,Public,2018,259.04706076957433,0.0244763522964524
44,68578,Master's Degree,Economics,4,0,Public,2019,253.38844804186493,0.031858798696834
44,69578,Master's Degree,Economics,5,0,Public,2020,262.73642928568705,0.021829736747955
44,70578,Master's Degree,Economics,6,0,Public,2021,269.49539686840825,0.0253120008517741
45,75931,Bachelor's Degree,Accounting,10,0,Non-Profit,2018,259.04706076957433,0.0331048396127804
45,76931,Bachelor's Degree,Accounting,11,0,Non-Profit,2019,253.38844804186493,0.0217397351982282
45,77931,Bachelor's Degree,Accounting,12,0,Non-Profit,2020,262.73642928568705,0.0274537703402462
45,78931,Bachelor's Degree,Accounting,13,0,Non-Profit,2021,269.49539686840825,0.0344684022737717
46,62903,Master's Degree,Economics,13,0,Public,2018,259.04706076957433,0.0398295067029009
46,63903,Master's Degree,Economics,14,0,Public,2019,253.38844804186493,0.0376581253827492
46,64903,Master's Degree,Economics,15,0,Public,2020,262.73642928568705,0.0381302743888916
46,65903,Master's Degree,Economics,16,0,Public,2021,269.49539686840825,0.0332422402021312
47,63314,PhD,Accounting,16,0,Private,2018,259.04706076957433,0.0370116345818848
47,64314,PhD,Accounting,17,0,Private,2019,253.38844804186493,0.0341672595343006
47,65314,PhD,Accounting,18,0,Private,2020,262.73642928568705,0.0339494292333856
47,66314,PhD,Accounting,19,0,Private,2021,269.49539686840825,0.0323722275643036
48,115708,Master's Degree,Finance,26,0,Private,2018,259.04706076957433,0.0375814296045626
48,116708,Master's Degree,Finance,27,0,Private,2019,253.38844804186493,0.036398938348162
48,117708,Master's Degree,Finance,28,0,Private,2020,262.73642928568705,0.0381740261853873
48,118708,Master's Degree,Finance,29,0,Private,2021,269.49539686840825,0.0311236347007951
49,127461,Bachelor's Degree,Accounting,27,1,Non-Profit,2018,259.04706076957433,0.0326362705403333
49,128461,Bachelor's Degree,Accounting,28,1,Non-Profit,2019,253.38844804186493,0.0326801140619922
49,129461,Bachelor's Degree,Accounting,29,1,Non-Profit,2020,262.73642928568705,0.0355969079030228
49,130461,Bachelor's Degree,Accounting,30,1,Non-Profit,2021,269.49539686840825,0.0352205580500405
50,69435,Master's Degree,Accounting,28,0,Public,2018,259.04706076957433,0.0350739766810103
50,70435,Master's Degree,Accounting,29,0,Public,2019,253.38844804186493,0.0234750695061513
50,71435,Master's Degree,Accounting,30,0,Public,2020,262.73642928568705,0.0389459577651267
50,72435,Master's Degree,Accounting,31,0,Public,2021,269.49539686840825,0.0354196858506427
51,84953,Bachelor's Degree,Economics,24,0,Public,2018,259.04706076957433,0.0374307361230475
51,85953,Bachelor's Degree,Economics,25,0,Public,2019,253.38844804186493,0.0393775571057138
51,86953,Bachelor's Degree,Economics,26,0,Public,2020,262.73642928568705,0.0226017248026126
51,87953,Bachelor's Degree,Economics,27,0,Public,2021,269.49539686840825,0.020491738329176
52,93082,PhD,Accounting,26,0,Public,2018,259.04706076957433,0.0231787656655351
52,94082,PhD,Accounting,27,0,Public,2019,253.38844804186493,0.0388860726991566
52,95082,PhD,Accounting,28,0,Public,2020,262.73642928568705,0.0370841954892313
52,96082,PhD,Accounting,29,0,Public,2021,269.49539686840825,0.0365184153159979
53,114307,PhD,Economics,22,1,Non-Profit,2018,259.04706076957433,0.0373610864506458
53,115307,PhD,Economics,23,1,Non-Profit,2019,253.38844804186493,0.0206260462749503
53,116307,PhD,Economics,24,1,Non-Profit,2020,262.73642928568705,0.0381904902189563
53,117307,PhD,Economics,25,1,Non-Profit,2021,269.49539686840825,0.0392904094454041
54,46626,PhD,Accounting,1,0,Private,2018,259.04706076957433,0.0344884534522823
54,47626,PhD,Accounting,2,0,Private,2019,253.38844804186493,0.0240071828709742
54,48626,PhD,Accounting,3,0,Private,2020,262.73642928568705,0.0342984808040449
54,49626,PhD,Accounting,4,0,Private,2021,269.49539686840825,0.0294306492020502
55,97444,PhD,Economics,21,0,Private,2018,259.04706076957433,0.0290738726921056
55,98444,PhD,Economics,22,0,Private,2019,253.38844804186493,0.0203572378495663
55,99444,PhD,Economics,23,0,Private,2020,262.73642928568705,0.0258833594668695
55,100444,PhD,Economics,24,0,Private,2021,269.49539686840825,0.0393502252722755
56,63536,Master's Degree,Finance,12,1,Private,2018,259.04706076957433,0.0311682534516639
56,64536,Master's Degree,Finance,13,1,Private,2019,253.38844804186493,0.0232165093815638
56,65536,Master's Degree,Finance,14,1,Private,2020,262.73642928568705,0.0265185092790414
56,66536,Master's Degree,Finance,15,1,Private,2021,269.49539686840825,0.0286649349794331
57,84589,Bachelor's Degree,Accounting,18,1,Private,2018,259.04706076957433,0.032000410962386
57,85589,Bachelor's Degree,Accounting,19,1,Private,2019,253.38844804186493,0.0338996377225308
57,86589,Bachelor's Degree,Accounting,20,1,Private,2020,262.73642928568705,0.035597019777867
57,87589,Bachelor's Degree,Accounting,21,1,Private,2021,269.49539686840825,0.0296101389451565
58,93559,Bachelor's Degree,Accounting,15,1,Private,2018,259.04706076957433,0.0323631146863623
58,94559,Bachelor's Degree,Accounting,16,1,Private,2019,253.38844804186493,0.0311929736697382
58,95559,Bachelor's Degree,Accounting,17,1,Private,2020,262.73642928568705,0.0265292261648798
58,96559,Bachelor's Degree,Accounting,18,1,Private,2021,269.49539686840825,0.0217573299828966
59,118985,Bachelor's Degree,Economics,22,0,Private,2018,259.04706076957433,0.0395493277262957
59,119985,Bachelor's Degree,Economics,23,0,Private,2019,253.38844804186493,0.0338638788164536
59,120985,Bachelor's Degree,Economics,24,0,Private,2020,262.73642928568705,0.0208236699055854
59,121985,Bachelor's Degree,Economics,25,0,Private,2021,269.49539686840825,0.0390309994871065
60,75015,Bachelor's Degree,Finance,9,1,Non-Profit,2018,259.04706076957433,0.0374193824749217
60,76015,Bachelor's Degree,Finance,10,1,Non-Profit,2019,253.38844804186493,0.0360345616613958
60,77015,Bachelor's Degree,Finance,11,1,Non-Profit,2020,262.73642928568705,0.0362965022749302
60,78015,Bachelor's Degree,Finance,12,1,Non-Profit,2021,269.49539686840825,0.0378963331212105
61,76662,Master's Degree,Economics,3,1,Public,2018,259.04706076957433,0.0232799896197899
61,77662,Master's Degree,Economics,4,1,Public,2019,253.38844804186493,0.0344965311974811
61,78662,Master's Degree,Economics,5,1,Public,2020,262.73642928568705,0.033005883717469
61,79662,Master's Degree,Economics,6,1,Public,2021,269.49539686840825,0.0323148404388448
62,118316,PhD,Finance,8,1,Public,2018,259.04706076957433,0.0286731066791277
62,119316,PhD,Finance,9,1,Public,2019,253.38844804186493,0.023233450882936
62,120316,PhD,Finance,10,1,Public,2020,262.73642928568705,0.0330652603847466
62,121316,PhD,Finance,11,1,Public,2021,269.49539686840825,0.0308495727143873
63,114500,PhD,Finance,29,0,Public,2018,259.04706076957433,0.0240715656068448
63,115500,PhD,Finance,30,0,Public,2019,253.38844804186493,0.023483866731565
63,116500,PhD,Finance,31,0,Public,2020,262.73642928568705,0.0283181473229388
63,117500,PhD,Finance,32,0,Public,2021,269.49539686840825,0.0325752963641189
64,53703,Master's Degree,Economics,9,0,Private,2018,259.04706076957433,0.0345051532083027
64,54703,Master's Degree,Economics,10,0,Private,2019,253.38844804186493,0.0374684647616332
64,55703,Master's Degree,Economics,11,0,Private,2020,262.73642928568705,0.0284344185374691
64,56703,Master's Degree,Economics,12,0,Private,2021,269.49539686840825,0.0318470065718672
65,100056,Master's Degree,Accounting,3,0,Non-Profit,2018,259.04706076957433,0.0281062036617148
65,101056,Master's Degree,Accounting,4,0,Non-Profit,2019,253.38844804186493,0.0326508106645261
65,102056,Master's Degree,Accounting,5,0,Non-Profit,2020,262.73642928568705,0.0302523041041161
65,103056,Master's Degree,Accounting,6,0,Non-Profit,2021,269.49539686840825,0.0213826557237323
66,117135,Bachelor's Degree,Economics,7,1,Public,2018,259.04706076957433,0.0318590170286985
66,118135,Bachelor's Degree,Economics,8,1,Public,2019,253.38844804186493,0.0278216307330352
66,119135,Bachelor's Degree,Economics,9,1,Public,2020,262.73642928568705,0.0251626686540225
66,120135,Bachelor's Degree,Economics,10,1,Public,2021,269.49539686840825,0.0265038012844938
67,95233,Bachelor's Degree,Finance,3,0,Non-Profit,2018,259.04706076957433,0.0266177872597834
67,96233,Bachelor's Degree,Finance,4,0,Non-Profit,2019,253.38844804186493,0.0333878080291872
67,97233,Bachelor's Degree,Finance,5,0,Non-Profit,2020,262.73642928568705,0.0289886767042747
67,98233,Bachelor's Degree,Finance,6,0,Non-Profit,2021,269.49539686840825,0.0389716670970286
68,110204,Bachelor's Degree,Economics,15,0,Private,2018,259.04706076957433,0.0294926175149962
68,111204,Bachelor's Degree,Economics,16,0,Private,2019,253.38844804186493,0.036113403059001
68,112204,Bachelor's Degree,Economics,17,0,Private,2020,262.73642928568705,0.0373654256102651
68,113204,Bachelor's Degree,Economics,18,0,Private,2021,269.49539686840825,0.0222383923879545
69,92614,Master's Degree,Economics,5,0,Public,2018,259.04706076957433,0.0207868708133701
69,93614,Master's Degree,Economics,6,0,Public,2019,253.38844804186493,0.0290439805656687
69,94614,Master's Degree,Economics,7,0,Public,2020,262.73642928568705,0.026323122099535
69,95614,Master's Degree,Economics,8,0,Public,2021,269.49539686840825,0.0208314571810078
70,107661,Master's Degree,Accounting,2,1,Public,2018,259.04706076957433,0.0394619549614069
70,108661,Master's Degree,Accounting,3,1,Public,2019,253.38844804186493,0.0250844915979498
70,109661,Master's Degree,Accounting,4,1,Public,2020,262.73642928568705,0.0268530697624183
70,110661,Master's Degree,Accounting,5,1,Public,2021,269.49539686840825,0.0225148302361329
71,52470,Master's Degree,Accounting,8,1,Public,2018,259.04706076957433,0.0218780143157883
71,53470,Master's Degree,Accounting,9,1,Public,2019,253.38844804186493,0.0288750043860914
71,54470,Master's Degree,Accounting,10,1,Public,2020,262.73642928568705,0.0235429957889477
71,55470,Master's Degree,Accounting,11,1,Public,2021,269.49539686840825,0.0367623057929622
72,113409,Master's Degree,Finance,18,1,Public,2018,259.04706076957433,0.0373780996895743
72,114409,Master's Degree,Finance,19,1,Public,2019,253.38844804186493,0.0206077411939367
72,115409,Master's Degree,Finance,20,1,Public,2020,262.73642928568705,0.0337905350206312
72,116409,Master's Degree,Finance,21,1,Public,2021,269.49539686840825,0.0243135030479543
73,76125,Master's Degree,Accounting,28,0,Private,2018,259.04706076957433,0.0320990784538108
73,77125,Master's Degree,Accounting,29,0,Private,2019,253.38844804186493,0.0373287733505529
73,78125,Master's Degree,Accounting,30,0,Private,2020,262.73642928568705,0.0350485552523114
73,79125,Master's Degree,Accounting,31,0,Private,2021,269.49539686840825,0.0257737119106127
74,73165,PhD,Economics,4,1,Private,2018,259.04706076957433,0.0361569188388251
74,74165,PhD,Economics,5,1,Private,2019,253.38844804186493,0.0359562729771726
74,75165,PhD,Economics,6,1,Private,2020,262.73642928568705,0.0363566843235004
74,76165,PhD,Economics,7,1,Private,2021,269.49539686840825,0.0308897819592169
75,93723,Bachelor's Degree,Accounting,26,0,Non-Profit,2018,259.04706076957433,0.0339093441337972
75,94723,Bachelor's Degree,Accounting,27,0,Non-Profit,2019,253.38844804186493,0.0289738724524506
75,95723,Bachelor's Degree,Accounting,28,0,Non-Profit,2020,262.73642928568705,0.0274650358325868
75,96723,Bachelor's Degree,Accounting,29,0,Non-Profit,2021,269.49539686840825,0.0214639184753688
76,79537,PhD,Economics,14,1,Public,2018,259.04706076957433,0.0308472732995947
76,80537,PhD,Economics,15,1,Public,2019,253.38844804186493,0.0369433472274514
76,81537,PhD,Economics,16,1,Public,2020,262.73642928568705,0.0362753257663917
76,82537,PhD,Economics,17,1,Public,2021,269.49539686840825,0.0229798371194038
77,72966,Bachelor's Degree,Finance,6,0,Non-Profit,2018,259.04706076957433,0.0343098181419854
77,73966,Bachelor's Degree,Finance,7,0,Non-Profit,2019,253.38844804186493,0.0364478683763411
77,74966,Bachelor's Degree,Finance,8,0,Non-Profit,2020,262.73642928568705,0.0379342857968024
77,75966,Bachelor's Degree,Finance,9,0,Non-Profit,2021,269.49539686840825,0.0390932006006661
78,131612,PhD,Finance,13,1,Non-Profit,2018,259.04706076957433,0.0220284165689843
78,132612,PhD,Finance,14,1,Non-Profit,2019,253.38844804186493,0.0251355313544101
78,133612,PhD,Finance,15,1,Non-Profit,2020,262.73642928568705,0.0261457992985257
78,134612,PhD,Finance,16,1,Non-Profit,2021,269.49539686840825,0.030783225533505
79,97976,Master's Degree,Economics,13,1,Public,2018,259.04706076957433,0.0224377218667389
